,Unnamed: 0,State,Head of state,Head of government,head_state_picture,head_gov_picture,flag
0,0,Austria,President – Alexander Van der Bellen,Federal Chancellor – Sebastian Kurz,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Van_der_Bellen_%28cropped%29.jpg/800px-Van_der_Bellen_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Sebastian_Kurz_%282018-02-28%29_%28cropped%29.jpg/330px-Sebastian_Kurz_%282018-02-28%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/225px-Flag_of_Austria.svg.png
1,1,Belgium,King – Philippe,Prime Minister – Alexander De Croo,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Philippe_of_Belgium_in_2019.jpg/330px-Philippe_of_Belgium_in_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Informal_meeting_of_ministers_responsible_for_development_%28FAC%29._Arrivals_Alexander_De_Croo_%2836766610160%29_%28cropped2%29.jpg/330px-Informal_meeting_of_ministers_responsible_for_development_%28FAC%29._Arrivals_Alexander_De_Croo_%2836766610160%29_%28cropped2%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/225px-Flag_of_Belgium_%28civil%29.svg.png
2,2,Bulgaria,President – Rumen Radev,Prime Minister – Boyko Borisov,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Rumen_Radev_official_%28cropped%29.jpg/330px-Rumen_Radev_official_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Boyko_Borissov_2017-11-03.jpg/330px-Boyko_Borissov_2017-11-03.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/250px-Flag_of_Bulgaria.svg.png
3,3,Croatia,President – Zoran Milanović,Prime Minister – Andrej Plenković,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Z_milanovic.jpg/330px-Z_milanovic.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Andrej_Plenkovi%C4%87_2019_%28cropped%29.jpg/330px-Andrej_Plenkovi%C4%87_2019_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/270px-Flag_of_Croatia.svg.png
4,4,Cyprus,President – Nicos Anastasiades,President – Nicos Anastasiades,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Anastasiades_%28cropped%29.jpg/330px-Anastasiades_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Anastasiades_%28cropped%29.jpg/330px-Anastasiades_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/225px-Flag_of_Cyprus.svg.png
5,5,Czech Republic,President – Miloš Zeman,Prime Minister – Andrej Babiš,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Milo%C5%A1_Zeman_cropped.jpg/330px-Milo%C5%A1_Zeman_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/A_Babi%C5%A1_Praha_2015.JPG/330px-A_Babi%C5%A1_Praha_2015.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/225px-Flag_of_the_Czech_Republic.svg.png
6,6,Denmark,Queen – Margrethe II,Prime Minister – Mette Frederiksen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Drottning_Margrethe_av_Danmark_crop.jpg/330px-Drottning_Margrethe_av_Danmark_crop.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/20190614_Folkemodet_Bornholm_Mette_Frederiksen_Socialdemokratiet_0285_%2848063468172%29_%28cropped%29.jpg/330px-20190614_Folkemodet_Bornholm_Mette_Frederiksen_Socialdemokratiet_0285_%2848063468172%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/199px-Flag_of_Denmark.svg.png
7,7,Estonia,President – Kersti Kaljulaid,Prime Minister – Kaja Kallas,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Kersti_Kaljulaid_-_2018_%28cropped%29.jpg/330px-Kersti_Kaljulaid_-_2018_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Kaja_Kallas_%28crop%29.jpg/330px-Kaja_Kallas_%28crop%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/236px-Flag_of_Estonia.svg.png
8,8,Finland,President – Sauli Niinistö,Prime Minister – Sanna Marin,https://upload.wikimedia.org/wikipedia/commons/8/8b/President_of_Finland_Sauli_Niinist%C3%B6_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Prime_Minister_of_Finland_Sanna_Marin_2019_%28cropped%29.jpg/330px-Prime_Minister_of_Finland_Sanna_Marin_2019_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/246px-Flag_of_Finland.svg.png
9,9,France,President – Emmanuel Macron,Prime Minister – Jean Castex,https://upload.wikimedia.org/wikipedia/commons/f/f4/Emmanuel_Macron_in_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Portrait_Jean_Castex_%28cropped%29.jpg/330px-Portrait_Jean_Castex_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/225px-Flag_of_France.svg.png
