,Country Name,Economic Freedom,Democracy Index,Regime Type,Continent
0,Singapore,89.7,6.03,Flawed democracy,Asia
1,New Zealand,83.9,9.25,Full democracy,Oceania
2,Australia,82.4,8.96,Full democracy,Oceania
3,Switzerland,81.9,8.83,Full democracy,Europe
4,Ireland,81.4,9.05,Full democracy,Europe
5,United Kingdom,78.4,8.54,Full democracy,Europe
6,Estonia,78.2,7.84,Flawed democracy,Europe
7,Canada,77.9,9.24,Full democracy,North America
8,Denmark,77.8,9.15,Full democracy,Europe
9,Iceland,77.4,9.37,Full democracy,Europe
10,Georgia,77.2,5.31,Hybrid regime,Asia
11,Mauritius,77.0,8.14,Full democracy,Africa
12,United Arab Emirates,76.9,2.7,Authoritarian,Asia
13,Lithuania,76.9,7.13,Flawed democracy,Europe
14,Netherlands,76.8,8.96,Full democracy,Europe
15,Finland,76.1,9.2,Full democracy,Europe
16,Luxembourg,76.0,8.68,Full democracy,Europe
17,Chile,75.2,8.28,Full democracy,South America
18,United States,74.8,7.92,Flawed democracy,North America
19,Sweden,74.7,9.26,Full democracy,Europe
20,Malaysia,74.4,7.19,Flawed democracy,Asia
21,Japan,74.1,8.13,Full democracy,Asia
22,South Korea,74.0,8.01,Full democracy,Asia
23,Austria,73.9,8.16,Full democracy,Europe
24,Israel,73.8,7.84,Flawed democracy,Asia
25,Norway,73.4,9.81,Full democracy,Europe
26,Germany,72.5,8.67,Full democracy,Europe
27,Latvia,72.3,7.24,Flawed democracy,Europe
28,Qatar,72.0,3.24,Authoritarian,Asia
29,Armenia,71.9,5.35,Hybrid regime,Asia
30,Cyprus,71.4,7.56,Flawed democracy,Europe
31,Kazakhstan,71.1,3.14,Authoritarian,Asia
32,Bulgaria,70.4,6.71,Flawed democracy,Europe
33,Malta,70.2,7.68,Flawed democracy,Europe
34,Belgium,70.1,7.51,Flawed democracy,Europe
35,Azerbaijan,70.1,2.68,Authoritarian,Asia
36,Spain,69.9,8.12,Full democracy,Europe
37,Bahrain,69.9,2.49,Authoritarian,Asia
38,Poland,69.7,6.85,Flawed democracy,Europe
39,Thailand,69.7,6.04,Flawed democracy,Asia
40,Romania,69.5,6.4,Flawed democracy,Europe
41,Uruguay,69.3,8.61,Full democracy,South America
42,Jamaica,69.0,7.13,Flawed democracy,North America
43,North Macedonia,68.6,5.89,Hybrid regime,Europe
44,Rwanda,68.3,3.1,Authoritarian,Africa
45,Slovenia,68.3,7.54,Flawed democracy,Europe
46,Colombia,68.1,7.04,Flawed democracy,South America
47,Peru,67.7,6.53,Flawed democracy,South America
48,Botswana,67.6,7.62,Flawed democracy,Africa
49,Portugal,67.5,7.9,Flawed democracy,Europe
50,Serbia,67.2,6.22,Flawed democracy,Europe
51,Hungary,67.2,6.56,Flawed democracy,Europe
52,Indonesia,66.9,6.3,Flawed democracy,Asia
53,Slovakia,66.3,6.97,Flawed democracy,Europe
54,Panama,66.2,7.18,Flawed democracy,North America
55,Saudi Arabia,66.0,2.08,Authoritarian,Asia
56,France,65.7,7.99,Flawed democracy,Europe
57,Mexico,65.5,6.07,Flawed democracy,North America
58,Albania,65.2,6.08,Flawed democracy,Europe
59,Italy,64.9,7.74,Flawed democracy,Europe
60,Jordan,64.6,3.62,Authoritarian,Asia
61,Oman,64.6,3.0,Authoritarian,Asia
62,Costa Rica,64.2,8.16,Full democracy,North America
63,Philippines,64.1,6.56,Flawed democracy,Asia
64,Kuwait,64.1,3.8,Authoritarian,Asia
65,Guatemala,64.0,4.97,Hybrid regime,North America
66,Turkey,64.0,4.48,Hybrid regime,Asia
67,Kyrgyzstan,63.7,4.21,Hybrid regime,Asia
68,Croatia,63.6,6.5,Flawed democracy,Europe
69,Montenegro,63.4,5.77,Hybrid regime,Europe
70,Morocco,63.3,5.04,Hybrid regime,Africa
71,Bosnia and Herzegovina,62.9,4.84,Hybrid regime,Europe
72,Namibia,62.6,6.52,Flawed democracy,Africa
73,Paraguay,62.6,6.18,Flawed democracy,South America
74,Moldova,62.5,5.78,Hybrid regime,Europe
75,Mongolia,62.4,6.48,Flawed democracy,Asia
76,Fiji,62.2,5.72,Hybrid regime,Oceania
77,Dominican Republic,62.1,6.32,Flawed democracy,North America
78,Vietnam,61.7,2.94,Authoritarian,Asia
79,Russia,61.5,3.31,Authoritarian,Europe
80,Tanzania,61.3,5.1,Hybrid regime,Africa
81,El Salvador,61.0,5.9,Hybrid regime,North America
82,Belarus,61.0,2.59,Authoritarian,Europe
83,Greece,60.9,7.39,Flawed democracy,Europe
84,Honduras,59.8,5.36,Hybrid regime,North America
85,South Africa,59.7,7.05,Flawed democracy,Africa
86,Benin,59.6,5.09,Hybrid regime,Africa
87,Ghana,59.2,6.5,Flawed democracy,Africa
88,Trinidad and Tobago,59.0,7.16,Flawed democracy,North America
89,Papua New Guinea,58.9,6.1,Flawed democracy,Oceania
90,Nigeria,58.7,4.1,Hybrid regime,Africa
91,Uganda,58.6,4.94,Hybrid regime,Africa
92,China,58.4,2.27,Authoritarian,Asia
93,Uzbekistan,58.3,2.12,Authoritarian,Asia
94,Bhutan,58.3,5.71,Hybrid regime,Asia
95,Gabon,58.1,3.54,Authoritarian,Africa
96,Senegal,58.0,5.67,Hybrid regime,Africa
97,Madagascar,57.7,5.7,Hybrid regime,Africa
98,Togo,57.5,2.8,Authoritarian,Africa
99,Guyana,57.4,6.01,Flawed democracy,South America
100,Niger,57.3,3.29,Authoritarian,Africa
101,Cambodia,57.3,3.1,Authoritarian,Asia
102,Tunisia,56.6,6.59,Flawed democracy,Africa
103,Bangladesh,56.5,5.99,Hybrid regime,Asia
104,India,56.5,6.61,Flawed democracy,Asia
105,Guinea,56.5,3.08,Authoritarian,Africa
106,Burkina Faso,56.5,3.73,Authoritarian,Africa
107,Nicaragua,56.3,3.6,Authoritarian,North America
108,Djibouti,56.2,2.71,Authoritarian,Africa
109,Ukraine,56.2,5.81,Hybrid regime,Europe
110,Mauritania,56.1,3.92,Authoritarian,Africa
111,Egypt,55.7,2.93,Authoritarian,Africa
112,Sri Lanka,55.7,6.14,Flawed democracy,Asia
113,Comoros,55.7,3.09,Authoritarian,Africa
114,Mali,55.6,3.93,Authoritarian,Africa
115,Tajikistan,55.2,1.94,Authoritarian,Asia
116,Myanmar,55.2,3.04,Authoritarian,Asia
117,Eswatini,55.1,3.08,Authoritarian,Africa
118,Kenya,54.9,5.05,Hybrid regime,Africa
119,Guinea-Bissau,54.9,2.63,Authoritarian,Africa
120,Angola,54.2,3.66,Authoritarian,Africa
121,Lesotho,53.5,6.3,Flawed democracy,Africa
122,Brazil,53.4,6.92,Flawed democracy,South America
123,Cameroon,53.4,2.77,Authoritarian,Africa
124,Malawi,53.0,5.74,Hybrid regime,Africa
125,Afghanistan,53.0,2.85,Authoritarian,Asia
126,Argentina,52.7,6.95,Flawed democracy,South America
127,Ecuador,52.4,6.13,Flawed democracy,South America
128,Sierra Leone,51.7,4.86,Hybrid regime,Africa
